Hotel name,Review Score,User country,Season,Traveler type,Review month,Review weekday,User continent
Monte Carlo Resort&Casino,3,USA,Fall,Families,October,Friday,North America
Monte Carlo Resort&Casino,2,USA,Fall,Couples,October,Sunday,North America
Monte Carlo Resort&Casino,4,Hungary,Fall,Couples,November,Friday,Europe
Monte Carlo Resort&Casino,1,China,Fall,Business,November,Wednesday,Asia
Monte Carlo Resort&Casino,2,Greece,Winter,Business,December,Sunday,Europe
Monte Carlo Resort&Casino,5,Mexico,Winter,Couples,December,Monday,North America
Treasure Island- TI Hotel & Casino,3,Croatia,Winter,Business,January,Sunday,Europe
Treasure Island- TI Hotel & Casino,4,Australia,Winter,Couples,January,Thursday,Oceania
Treasure Island- TI Hotel & Casino,4,Canada,Winter,Friends,February,Monday,North America
Treasure Island- TI Hotel & Casino,5,USA,Winter,Solo,February,Monday,North America
Treasure Island- TI Hotel & Casino,4,USA,Spring,Couples,March,Friday,North America
Treasure Island- TI Hotel & Casino,4,Canada,Spring,Friends,March,Saturday,North America
Treasure Island- TI Hotel & Casino,4,USA,Spring,Friends,April,Tuesday,North America
Treasure Island- TI Hotel & Casino,3,Australia,Spring,Families,April,Wednesday,Oceania
Treasure Island- TI Hotel & Casino,3,India,Spring,Families,May,Friday,Asia
Treasure Island- TI Hotel & Casino,4,Germany,Spring,Friends,May,Sunday,Europe
Treasure Island- TI Hotel & Casino,3,USA,Summer,Families,June,Thursday,North America
Treasure Island- TI Hotel & Casino,4,Canada,Summer,Couples,June,Tuesday,North America
Treasure Island- TI Hotel & Casino,5,Australia,Summer,Couples,July,Wednesday,Oceania
Treasure Island- TI Hotel & Casino,4,Malaysia,Summer,Solo,July,Thursday,Asia
Treasure Island- TI Hotel & Casino,4,Mexico,Summer,Couples,August,Saturday,South America
Treasure Island- TI Hotel & Casino,4,UK,Summer,Couples,August,Friday,Europe
Treasure Island- TI Hotel & Casino,3,UK,Fall,Couples,September,Friday,Europe
Treasure Island- TI Hotel & Casino,4,USA,Fall,Business,September,Tuesday,North America
Treasure Island- TI Hotel & Casino,5,Australia,Fall,Families,October,Monday,Oceania
Treasure Island- TI Hotel & Casino,3,USA,Fall,Couples,October,Monday,North America
Treasure Island- TI Hotel & Casino,5,Thailand,Fall,Couples,November,Friday,Asia
Treasure Island- TI Hotel & Casino,4,Australia,Fall,Families,November,Friday,Oceania
Treasure Island- TI Hotel & Casino,4,Canada,Winter,Friends,December,Saturday,North America
Treasure Island- TI Hotel & Casino,5,Canada,Winter,Couples,December,Thursday,North America
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,UK,Winter,Families,January,Sunday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,USA,Winter,Friends,January,Sunday,North America
Tropicana Las Vegas - A Double Tree by Hilton Hotel,3,Phillippines,Winter,Couples,February,Wednesday,Asia
Tropicana Las Vegas - A Double Tree by Hilton Hotel,3,Israel,Winter,Business,February,Thursday,Asia
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,Canada,Spring,Business,March,Wednesday,North America
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,UK,Spring,Couples,March,Friday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,Ireland,Spring,Couples,April,Friday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,India ,Spring,Business,April,Monday,Asia
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,New Zeland,Spring,Couples,May,Tuesday,Oceania
Tropicana Las Vegas - A Double Tree by Hilton Hotel,3,Belgium,Spring,Friends,May,Sunday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,UK,Summer,Business,June,Tuesday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,Australia,Summer,Friends,June,Wednesday,Oceania
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,UK,Summer,Solo,July,Wednesday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,UK,Summer,Couples,July,Monday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,New Zeland,Summer,Friends,August,Saturday,Oceania
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,Australia,Summer,Couples,August,Friday,Oceania
Tropicana Las Vegas - A Double Tree by Hilton Hotel,1,Canada,Fall,Couples,September,Tuesday,North America
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,Australia,Fall,Couples,September,Wednesday,Oceania
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,UK,Fall,Friends,October,Tuesday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,2,USA,Fall,Friends,October,Thursday,North America
Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,India,Fall,Solo,November,Sunday,Asia
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,Netherlands,Fall,Friends,November,Saturday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,UK,Winter,Couples,December,Saturday,Europe
Tropicana Las Vegas - A Double Tree by Hilton Hotel,5,UK,Winter,Families,December,Thursday,Europe
Caesars Palace,5,USA,Winter,Friends,January,Wednesday,North America
Caesars Palace,4,USA,Winter,Couples,January,Friday,North America
Caesars Palace,5,Puerto Rico,Winter,Families,February,Tuesday,North America
Caesars Palace,5,Canada,Winter,Families,February,Thursday,North America
Caesars Palace,5,USA,Spring,Families,March,Friday,North America
Caesars Palace,3,USA,Spring,Families,March,Friday,North America
Caesars Palace,5,Canada,Spring,Couples,April,Thursday,North America
Caesars Palace,4,USA,Spring,Couples,April,Saturday,North America
Caesars Palace,1,UK,Spring,Couples,May,Sunday,Europe
Caesars Palace,4,UK,Spring,Couples,May,Wednesday,Europe
Caesars Palace,4,USA,Summer,Couples,June,Sunday,North America
Caesars Palace,1,USA,Summer,Solo,June,Tuesday,North America
Caesars Palace,5,USA,Summer,Couples,July,Monday,North America
Caesars Palace,3,UK,Summer,Families,July,Tuesday,Europe
Caesars Palace,5,UK,Summer,Families,August,Friday,Europe
Caesars Palace,4,Canada,Summer,Friends,August,Wednesday,North America
Caesars Palace,5,USA,Fall,Couples,September,Monday,North America
Caesars Palace,5,USA,Fall,Couples,September,Tuesday,North America
Caesars Palace,5,USA,Fall,Business,October,Sunday,North America
Caesars Palace,5,USA,Fall,Friends,October,Thursday,North America
Caesars Palace,5,Australia,Fall,Couples,November,Sunday,Oceania
Caesars Palace,3,Australia,Fall,Families,November,Sunday,Oceania
Caesars Palace,4,USA,Winter,Families,December,Friday,North America
Caesars Palace,4,USA,Winter,Couples,December,Sunday,North America
The Cosmopolitan Las Vegas,4,Australia,Winter,Friends,January,Thursday,Oceania
The Cosmopolitan Las Vegas,5,Australia,Winter,Friends,January,Thursday,Oceania
The Cosmopolitan Las Vegas,4,Switzerland,Winter,Friends,February,Saturday,Europe
The Cosmopolitan Las Vegas,5,UK,Winter,Couples,February,Wednesday,Europe
The Cosmopolitan Las Vegas,5,USA,Spring,Couples,March,Monday,North America
The Cosmopolitan Las Vegas,5,USA,Spring,Couples,March,Saturday,North America
The Cosmopolitan Las Vegas,4,Ireland,Spring,Friends,April,Thursday,Europe
The Cosmopolitan Las Vegas,5,USA,Spring,Business,April,Monday,North America
The Cosmopolitan Las Vegas,5,Germany,Spring,Families,May,Thursday,Europe
The Cosmopolitan Las Vegas,2,USA,Spring,Business,May,Wednesday,North America
The Cosmopolitan Las Vegas,2,Germany,Summer,Couples,June,Wednesday,Europe
The Cosmopolitan Las Vegas,5,Ireland,Summer,Friends,June,Wednesday,Europe
The Cosmopolitan Las Vegas,1,USA,Summer,Business,July,Wednesday,North America
The Cosmopolitan Las Vegas,4,Australia,Summer,Friends,July,Tuesday,Oceania
The Cosmopolitan Las Vegas,5,Canada,Summer,Families,August,Saturday,North America
The Cosmopolitan Las Vegas,4,USA,Summer,Couples,August,Sunday,North America
The Cosmopolitan Las Vegas,5,UK,Fall,Couples,September,Wednesday,Europe
The Cosmopolitan Las Vegas,5,Norway,Fall,Couples,September,Tuesday,Europe
The Cosmopolitan Las Vegas,5,USA,Fall,Couples,October,Monday,North America
The Cosmopolitan Las Vegas,5,UK,Fall,Friends,October,Friday,Europe
The Cosmopolitan Las Vegas,5,Egypt,Fall,Business,November,Wednesday,Africa
The Cosmopolitan Las Vegas,5,USA,Fall,Business,November,Friday,North America
The Cosmopolitan Las Vegas,2,Canada,Winter,Couples,December,Tuesday,North America
The Cosmopolitan Las Vegas,5,USA,Winter,Families,December,Sunday,North America
The Palazzo Resort Hotel Casino,3,Mexico,Winter,Couples,January,Friday,North America
The Palazzo Resort Hotel Casino,5,USA,Winter,Families,January,Friday,North America
The Palazzo Resort Hotel Casino,5,Canada,Winter,Couples,February,Friday,North America
The Palazzo Resort Hotel Casino,4,USA,Winter,Couples,February,Tuesday,North America
The Palazzo Resort Hotel Casino,5,Canada,Spring,Families,March,Wednesday,North America
The Palazzo Resort Hotel Casino,5,Canada,Spring,Families,March,Friday,North America
The Palazzo Resort Hotel Casino,4,USA,Spring,Couples,April,Sunday,North America
The Palazzo Resort Hotel Casino,5,Canada,Spring,Couples,April,Saturday,North America
The Palazzo Resort Hotel Casino,5,France,Spring,Couples,May,Saturday,Europe
The Palazzo Resort Hotel Casino,5,UK,Spring,Business,May,Friday,Europe
The Palazzo Resort Hotel Casino,4,USA,Summer,Friends,June,Monday,North America
The Palazzo Resort Hotel Casino,3,USA,Summer,Couples,June,Friday,North America
The Palazzo Resort Hotel Casino,4,Spain,Summer,Friends,July,Wednesday,Europe
The Palazzo Resort Hotel Casino,5,USA,Summer,Families,July,Friday,North America
The Palazzo Resort Hotel Casino,4,UK,Summer,Friends,August,Sunday,Europe
The Palazzo Resort Hotel Casino,4,USA,Summer,Business,August,Wednesday,North America
The Palazzo Resort Hotel Casino,3,UK,Fall,Friends,September,Saturday,Europe
The Palazzo Resort Hotel Casino,5,USA,Fall,Families,September,Saturday,North America
The Palazzo Resort Hotel Casino,5,Canada,Fall,Families,October,Wednesday,North America
The Palazzo Resort Hotel Casino,5,Australia,Fall,Couples,October,Thursday,Oceania
The Palazzo Resort Hotel Casino,5,Singapore,Fall,Friends,November,Sunday,Asia
The Palazzo Resort Hotel Casino,3,Brazil,Fall,Families,November,Sunday,South America
The Palazzo Resort Hotel Casino,5,USA,Winter,Couples,December,Thursday,North America
The Palazzo Resort Hotel Casino,4,USA,Winter,Families,December,Monday,North America
Wynn Las Vegas,5,USA,Winter,Couples,January,Saturday,North America
Wynn Las Vegas,5,USA,Winter,Families,January,Tuesday,North America
Wynn Las Vegas,4,Canada,Winter,Couples,February,Saturday,North America
Wynn Las Vegas,5,USA,Winter,Couples,February,Tuesday,North America
Wynn Las Vegas,5,USA,Spring,Friends,March,Friday,North America
Wynn Las Vegas,4,USA,Spring,Business,March,Monday,North America
Wynn Las Vegas,5,USA,Spring,Business,April,Sunday,North America
Wynn Las Vegas,4,USA,Spring,Couples,April,Monday,North America
Wynn Las Vegas,3,Singapore,Spring,Solo,May,Monday,Asia
Wynn Las Vegas,5,UK,Spring,Couples,May,Monday,Europe
Wynn Las Vegas,5,USA,Summer,Couples,June,Wednesday,North America
Wynn Las Vegas,5,USA,Summer,Couples,June,Wednesday,North America
Wynn Las Vegas,5,USA,Summer,Couples,July,Monday,North America
Wynn Las Vegas,5,Canada,Summer,Couples,July,Sunday,North America
Wynn Las Vegas,5,Canada,Summer,Couples,August,Sunday,North America
Wynn Las Vegas,5,Finland,Summer,Solo,August,Saturday,Europe
Wynn Las Vegas,2,Canada,Fall,Business,September,Monday,North America
Wynn Las Vegas,5,Canada,Fall,Friends,September,Saturday,North America
Wynn Las Vegas,4,USA,Fall,Couples,October,Monday,North America
Wynn Las Vegas,5,UK,Fall,Couples,October,Saturday,Europe
Wynn Las Vegas,5,Costa Rica,Fall,Business,November,Monday,North America
Wynn Las Vegas,5,UK,Fall,Couples,November,Wednesday,Europe
Wynn Las Vegas,5,UK,Winter,Couples,December,Tuesday,Europe
Wynn Las Vegas,5,USA,Winter,Couples,December,Tuesday,North America
Trump International Hotel Las Vegas,5,UK,Winter,Solo,January,Tuesday,Europe
Trump International Hotel Las Vegas,5,India,Winter,Business,January,Saturday,Asia
Trump International Hotel Las Vegas,5,USA,Winter,Business,February,Wednesday,North America
Trump International Hotel Las Vegas,5,USA,Winter,Families,February,Tuesday,North America
Trump International Hotel Las Vegas,5,USA,Spring,Couples,March,Monday,North America
Trump International Hotel Las Vegas,3,USA,Spring,Couples,March,Wednesday,North America
Trump International Hotel Las Vegas,4,United Arab Emirates,Spring,Couples,April,Monday,Asia
Trump International Hotel Las Vegas,5,USA,Spring,Couples,April,Wednesday,North America
Trump International Hotel Las Vegas,4,Singapore,Spring,Families,May,Friday,Asia
Trump International Hotel Las Vegas,5,Brazil,Spring,Families,May,Sunday,South America
Trump International Hotel Las Vegas,5,USA,Summer,Couples,June,Sunday,North America
Trump International Hotel Las Vegas,5,USA,Summer,Business,June,Wednesday,North America
Trump International Hotel Las Vegas,5,Canada,Summer,Families,July,Sunday,North America
Trump International Hotel Las Vegas,4,USA,Summer,Families,July,Monday,North America
Trump International Hotel Las Vegas,4,Iran,Summer,Couples,August,Sunday,Asia
Trump International Hotel Las Vegas,5,USA,Summer,Couples,August,Monday,North America
Trump International Hotel Las Vegas,5,UK,Fall,Families,September,Thursday,Europe
Trump International Hotel Las Vegas,1,Egypt,Fall,Families,September,Monday,Africa
Trump International Hotel Las Vegas,5,Ireland,Fall,Friends,October,Thursday,Europe
Trump International Hotel Las Vegas,5,Australia,Fall,Couples,October,Saturday,Oceania
Trump International Hotel Las Vegas,2,Germany,Fall,Couples,November,Wednesday,Europe
Trump International Hotel Las Vegas,4,Australia,Fall,Families,November,Tuesday,Oceania
Trump International Hotel Las Vegas,4,USA,Winter,Business,December,Tuesday,North America
Trump International Hotel Las Vegas,5,USA,Winter,Couples,December,Sunday,North America
The Cromwell,3,Saudi Arabia,Winter,Business,January,Tuesday,Asia
The Cromwell,4,USA,Winter,Business,January,Saturday,North America
The Cromwell,5,USA,Winter,Families,February,Sunday,North America
The Cromwell,5,USA,Winter,Couples,February,Monday,North America
The Cromwell,2,USA,Spring,Solo,March,Wednesday,North America
The Cromwell,5,USA,Spring,Friends,March,Sunday,North America
The Cromwell,5,Canada,Spring,Couples,April,Tuesday,North America
The Cromwell,2,Canada,Spring,Families,April,Tuesday,North America
The Cromwell,5,USA,Spring,Friends,May,Friday,North America
The Cromwell,5,USA,Spring,Couples,May,Monday,North America
The Cromwell,5,USA,Summer,Friends,June,Wednesday,North America
The Cromwell,5,USA,Summer,Couples,June,Wednesday,North America
The Cromwell,5,USA,Summer,Couples,July,Wednesday,North America
The Cromwell,1,USA,Summer,Friends,July,Thursday,North America
The Cromwell,5,Netherlands,Summer,Couples,August,Wednesday,Europe
The Cromwell,4,UK,Summer,Families,August,Monday,Europe
The Cromwell,5,USA,Fall,Couples,September,Sunday,North America
The Cromwell,4,Australia,Fall,Business,September,Saturday,Oceania
The Cromwell,3,USA,Fall,Families,October,Thursday,North America
The Cromwell,5,Norway,Fall,Friends,October,Tuesday,Europe
The Cromwell,3,Canada,Fall,Couples,November,Sunday,North America
The Cromwell,4,USA,Fall,Business,November,Wednesday,North America
The Cromwell,4,Canada,Winter,Couples,December,Wednesday,North America
The Cromwell,4,USA,Winter,Couples,December,Wednesday,North America
Encore at wynn Las Vegas,1,Thailand,Winter,Business,January,Tuesday,Asia
Encore at wynn Las Vegas,5,USA,Winter,Couples,January,Tuesday,North America
Encore at wynn Las Vegas,4,UK,Winter,Couples,February,Thursday,Europe
Encore at wynn Las Vegas,5,USA,Winter,Business,February,Sunday,North America
Encore at wynn Las Vegas,5,USA,Spring,Couples,March,Friday,North America
Encore at wynn Las Vegas,4,USA,Spring,Friends,March,Tuesday,North America
Encore at wynn Las Vegas,3,UK,Spring,Families,April,Monday,Europe
Encore at wynn Las Vegas,4,Honduras,Spring,Friends,April,Thursday,South America
Encore at wynn Las Vegas,5,USA,Spring,Business,May,Friday,North America
Encore at wynn Las Vegas,5,UK,Spring,Friends,May,Monday,Europe
Encore at wynn Las Vegas,5,UK,Summer,Couples,June,Saturday,Europe
Encore at wynn Las Vegas,4,USA,Summer,Business,June,Tuesday,North America
Encore at wynn Las Vegas,5,USA,Summer,Friends,July,Thursday,North America
Encore at wynn Las Vegas,5,USA,Summer,Families,July,Sunday,North America
Encore at wynn Las Vegas,5,UK,Summer,Families,August,Thursday,Europe
Encore at wynn Las Vegas,5,USA,Summer,Families,August,Sunday,North America
Encore at wynn Las Vegas,5,USA,Fall,Couples,September,Monday,North America
Encore at wynn Las Vegas,5,UK,Fall,Friends,September,Wednesday,Europe
Encore at wynn Las Vegas,5,USA,Fall,Couples,October,Friday,North America
Encore at wynn Las Vegas,4,UK,Fall,Business,October,Thursday,Europe
Encore at wynn Las Vegas,5,India,Fall,Couples,November,Sunday,Asia
Encore at wynn Las Vegas,5,USA,Fall,Couples,November,Sunday,North America
Encore at wynn Las Vegas,5,USA,Winter,Friends,December,Tuesday,North America
Encore at wynn Las Vegas,5,USA,Winter,Business,December,Tuesday,North America
Hilton Grand Vacations on the Boulevard,5,USA,Winter,Couples,January,Friday,North America
Hilton Grand Vacations on the Boulevard,2,USA,Winter,Families,January,Thursday,North America
Hilton Grand Vacations on the Boulevard,5,Mexico,Winter,Business,February,Tuesday,North America
Hilton Grand Vacations on the Boulevard,5,Canada,Winter,Couples,February,Friday,North America
Hilton Grand Vacations on the Boulevard,5,UK,Spring,Couples,March,Tuesday,Europe
Hilton Grand Vacations on the Boulevard,4,Netherlands,Spring,Couples,March,Thursday,Europe
Hilton Grand Vacations on the Boulevard,4,Australia,Spring,Business,April,Wednesday,Oceania
Hilton Grand Vacations on the Boulevard,4,Canada,Spring,Families,April,Monday,North America
Hilton Grand Vacations on the Boulevard,5,Brazil,Spring,Families,May,Friday,South America
Hilton Grand Vacations on the Boulevard,1,USA,Spring,Couples,May,Friday,North America
Hilton Grand Vacations on the Boulevard,5,USA,Summer,Friends,June,Monday,North America
Hilton Grand Vacations on the Boulevard,5,USA,Summer,Solo,June,Monday,North America
Hilton Grand Vacations on the Boulevard,4,Finland,Summer,Families,July,Thursday,Europe
Hilton Grand Vacations on the Boulevard,5,UK,Summer,Families,July,Wednesday,Europe
Hilton Grand Vacations on the Boulevard,4,USA,Summer,Couples,August,Monday,North America
Hilton Grand Vacations on the Boulevard,5,UK,Summer,Families,August,Friday,Europe
Hilton Grand Vacations on the Boulevard,5,Canada,Fall,Families,September,Sunday,North America
Hilton Grand Vacations on the Boulevard,5,USA,Fall,Solo,September,Wednesday,North America
Hilton Grand Vacations on the Boulevard,2,UK,Fall,Couples,October,Wednesday,Europe
Hilton Grand Vacations on the Boulevard,4,USA,Fall,Business,October,Wednesday,North America
Hilton Grand Vacations on the Boulevard,3,USA,Fall,Families,November,Wednesday,North America
Hilton Grand Vacations on the Boulevard,4,Mexico,Fall,Families,November,Monday,North America
Hilton Grand Vacations on the Boulevard,5,USA,Winter,Couples,December,Monday,North America
Hilton Grand Vacations on the Boulevard,4,Australia,Winter,Couples,December,Tuesday,Oceania
Marriott's Grand Chateau,4,Canada,Winter,Business,January,Saturday,North America
Marriott's Grand Chateau,4,USA,Winter,Business,January,Sunday,North America
Marriott's Grand Chateau,5,USA,Winter,Families,February,Wednesday,North America
Marriott's Grand Chateau,5,USA,Winter,Business,February,Thursday,North America
Marriott's Grand Chateau,4,UK,Spring,Friends,March,Tuesday,Europe
Marriott's Grand Chateau,5,Germany,Spring,Business,March,Monday,Europe
Marriott's Grand Chateau,5,Canada,Spring,Couples,April,Wednesday,North America
Marriott's Grand Chateau,4,USA,Spring,Couples,April,Tuesday,North America
Marriott's Grand Chateau,4,Australia,Spring,Couples,May,Sunday,Oceania
Marriott's Grand Chateau,4,Canada,Spring,Business,May,Wednesday,North America
Marriott's Grand Chateau,5,USA,Summer,Families,June,Tuesday,North America
Marriott's Grand Chateau,5,Australia,Summer,Families,June,Thursday,Oceania
Marriott's Grand Chateau,5,USA,Summer,Couples,July,Saturday,North America
Marriott's Grand Chateau,5,Denmark,Summer,Couples,July,Monday,Europe
Marriott's Grand Chateau,5,Taiwan,Summer,Families,August,Wednesday,Asia
Marriott's Grand Chateau,5,Israel,Summer,Families,August,Sunday,Asia
Marriott's Grand Chateau,5,Hawaii,Fall,Friends,September,Wednesday,North America
Marriott's Grand Chateau,5,USA,Fall,Friends,September,Tuesday,North America
Marriott's Grand Chateau,3,Thailand,Fall,Business,October,Monday,Asia
Marriott's Grand Chateau,5,Mexico,Fall,Families,October,Wednesday,North America
Marriott's Grand Chateau,4,Kuwait,Fall,Couples,November,Thursday,Asia
Marriott's Grand Chateau,4,Norway,Fall,Couples,November,Sunday,Europe
Marriott's Grand Chateau,5,USA,Winter,Couples,December,Tuesday,North America
Marriott's Grand Chateau,4,Germany,Winter,Families,December,Thursday,Europe
Tuscany Las Vegas Suites & Casino,5,USA,Winter,Couples,January,Saturday,North America
Tuscany Las Vegas Suites & Casino,5,USA,Winter,Friends,January,Thursday,North America
Tuscany Las Vegas Suites & Casino,3,UK,Winter,Business,February,Friday,Europe
Tuscany Las Vegas Suites & Casino,5,USA,Winter,Business,February,Saturday,North America
Tuscany Las Vegas Suites & Casino,5,USA,Spring,Friends,March,Sunday,North America
Tuscany Las Vegas Suites & Casino,5,USA,Spring,Couples,March,Thursday,North America
Tuscany Las Vegas Suites & Casino,5,Brazil,Spring,Couples,April,Monday,South America
Tuscany Las Vegas Suites & Casino,4,USA,Spring,Couples,April,Wednesday,North America
Tuscany Las Vegas Suites & Casino,2,India,Spring,Families,May,Thursday,Asia
Tuscany Las Vegas Suites & Casino,3,USA,Spring,Business,May,Thursday,North America
Tuscany Las Vegas Suites & Casino,5,Malaysia,Summer,Friends,June,Sunday,Asia
Tuscany Las Vegas Suites & Casino,3,USA,Summer,Couples,June,Tuesday,North America
Tuscany Las Vegas Suites & Casino,5,Germany,Summer,Couples,July,Wednesday,Europe
Tuscany Las Vegas Suites & Casino,4,Canada,Summer,Business,July,Friday,North America
Tuscany Las Vegas Suites & Casino,3,Canada,Summer,Business,August,Wednesday,North America
Tuscany Las Vegas Suites & Casino,4,USA,Summer,Couples,August,Monday,North America
